,date,EBIT_Index,Revenue_Index
22,2015-03-31,2.801834657362317,0.695538383848512
23,2015-06-30,0.4248531560694528,0.7390912417017576
24,2015-09-30,0.4682093494861111,0.6270053521925064
25,2015-12-31,-1.3080562324416376,0.7096645634070264
26,2016-03-31,2.9484347942624503,0.6889014338976901
27,2016-06-30,0.8219925967377699,0.6732801538967101
28,2016-09-30,0.8554276189591985,0.6236004050204836
29,2016-12-31,0.8059051938122395,0.7390761345105089
30,2017-03-31,1.0247902226112044,0.7314702783446603
31,2017-06-30,0.805004241369342,0.7600492548779324
32,2017-09-30,0.8988441670100242,0.6668212874398076
33,2017-12-31,0.891929647400815,0.8063530316548266
34,2018-03-31,0.8749847085994958,0.7047219050880402
35,2018-06-30,0.9694144523797762,0.8213300586364635
36,2018-09-30,1.10625351961467,0.779370027865575
37,2018-12-31,1.0627800837211856,0.8785147176271303
38,2019-03-31,0.7563329917858207,0.8602905334704976
39,2019-06-30,1.0362767303468152,0.9024931043276047
40,2019-09-30,1.387167815467446,0.9233233341668295
41,2019-12-31,1.0,1.0
42,2020-03-31,1.120253373356822,0.907996492638843
43,2020-06-30,1.1996791976133532,0.8474894762921363
44,2020-09-30,2.1880158349715892,1.1384944353705386
45,2020-12-31,1.7943503655171076,1.021611085525141
46,2021-03-31,2.1004943671080625,1.1678756780250352
47,2021-06-30,2.4284089890495744,1.1453438693773876
48,2021-09-30,1.9901437103458322,1.2410353241660432
49,2021-12-31,2.1861909818215786,1.210357003319422
50,2022-03-31,19.192134842713518,1.516129485388839
51,2022-06-30,3.7299532764237164,1.3163468568045544
52,2022-09-30,11.180394680473762,1.3805481313115582
53,2022-12-31,2.332877797180617,1.244678350478366
54,2023-03-31,12.933613886747166,1.5103889743352392
55,2023-06-30,2.030857815750708,1.091252165849716
